UID	Base_Price	Sakhalin_OPT
8de48449-cd69-11e2-8b65-000d88394cae	989.42	1117.46
8de48447-cd69-11e2-8b65-000d88394cae	1214.99	1372.22
8de48435-cd69-11e2-8b65-000d88394cae	284.41	318.53
8de48421-cd69-11e2-8b65-000d88394cae	176.33	202.78
07014828-c8de-11e3-befc-000d88394cae	747.32	844.03
49b46588-fe18-11e2-9773-000d88394cae	857.05	948.02
49b4658a-fe18-11e2-9773-000d88394cae	988.62	1093.55
627c87ca-7b2e-11e7-b6a3-000d88394cae	1217.92	1347.19
5fff6fed-7678-11e7-b6a3-000d88394cae	1869.71	1994.37
627c87cd-7b2e-11e7-b6a3-000d88394cae	956.76	1080.58
d28d0ae8-9274-11e5-8c79-000d88394cae	1109.25	1252.80
8de48425-cd69-11e2-8b65-000d88394cae	1442.70	1538.88
49b46582-fe18-11e2-9773-000d88394cae	1892.10	2136.96
2e135cfa-ffde-11e2-b792-000d88394cae	1256.04	1338.85
8aba30e9-49f3-11e9-bdca-000d88394cae	921.06	1040.26
6b48685a-ffd9-11e2-b792-000d88394cae	1030.54	1163.90
8aba30ec-49f3-11e9-bdca-000d88394cae	1588.55	1694.46
6b486856-ffd9-11e2-b792-000d88394cae	1012.69	1143.74
8de48427-cd69-11e2-8b65-000d88394cae	93.98	100.80
8de4842d-cd69-11e2-8b65-000d88394cae	361.44	385.54
8de4842b-cd69-11e2-8b65-000d88394cae	409.36	462.34
627c87d0-7b2e-11e7-b6a3-000d88394cae	191.71	205.63
b689ffa6-4b08-11e7-99bf-000d88394cae	95.04	85.54
07014832-c8de-11e3-befc-000d88394cae	82.70	91.48
627c87d3-7b2e-11e7-b6a3-000d88394cae	326.34	348.10
5fff6ff0-7678-11e7-b6a3-000d88394cae	415.80	443.52
74738960-7781-11e5-96ec-000d88394cae	178.94	190.86
a545982e-4a99-11e9-bdca-000d88394cae	261.34	278.77
a5459832-4a99-11e9-bdca-000d88394cae	482.58	514.75
6b48684a-ffd9-11e2-b792-000d88394cae	1034.46	1103.42
6b48684c-ffd9-11e2-b792-000d88394cae	1178.53	1331.04
f1e81afb-cbf6-11e2-8b65-000d88394cae	1428.84	1524.10
f1e81b00-cbf6-11e2-8b65-000d88394cae	1663.20	1759.68
627c87d6-7b2e-11e7-b6a3-000d88394cae	677.87	749.83
86368872-ad44-11e7-8ba4-000d88394cae	1782.33	2012.99
8de48431-cd69-11e2-8b65-000d88394cae	290.70	321.55
8de48441-cd69-11e2-8b65-000d88394cae	353.35	390.85
006ce9ad-f1d4-11e8-b63c-000d88394cae	656.46	700.22
627c87dc-7b2e-11e7-b6a3-000d88394cae	811.44	865.54
627c87d9-7b2e-11e7-b6a3-000d88394cae	172.55	193.54
07014822-c8de-11e3-befc-000d88394cae	436.04	482.33
07014824-c8de-11e3-befc-000d88394cae	540.54	576.58
